trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.8622839854151,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99999975}",25,0,-118.01443698119292,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999999}",25,7,-81.46329903490732,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.99999775}",25,0,-252.0878897812375,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.999996}",25,0,-142.2356829936377,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.99999375}",25,17,-6.8119186903898,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.999991}",20,0,-132.50508409852216,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.99998775}",25,0,-97.43619944472685,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.999984}",25,16,-56.668870961739444,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.99997975}",30,0,-237.62341340157488,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.999975}",25,0,-100.08973763405515,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.99996975}",20,0,-157.21250729778131,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.999964}",20,0,-47.698915214428276,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.99995775}",20,0,-56.36067441743649,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.999951}",25,0,-180.1565930515528,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.99994375}",25,0,-57.17055601996155,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.999936}",20,0,-177.17882058702168,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
