trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.56181194654672,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.88412518068842,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,11,-91.91936171961481,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.66600946833893,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.3830669322472,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.94055736331619,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.64206576049209,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,4,-43.00429125047263,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.78818046640362,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.93991682075686,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.53229074468439,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,5,-100.475973579018,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.65733860836698,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.9650722260517,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.9199775892552,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.90555923630406,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.77913043448642,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.22847235328314,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.72457251713018,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.86431949646345,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-107.52074636570967,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.06117668661582,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-69.03347061844028,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,1,-115.73381738808537,"{0: 25, 1: 3, 2: 3, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,5,-125.45764810171578,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 3}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,6,-78.09920180509161,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-38.297762151987286,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.29350222491666,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.76615131628276,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.95066252129135,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
